variant_label,variant,seed,halting_threshold,router_threshold,benchmark_tokens_per_second,average_forward_time_ms,peak_gpu_memory_mb,mean_attention_trigger_rate,mean_active_fraction,mean_halted_fraction,mean_halt_step,mean_executed_steps,logit_l2_vs_plain_mamba3,logit_mae_vs_plain_mamba3,json_path,log_path,command
halting_only,halting_only,2,0.5,0.5,1753.5723729938488,9.124231338500977,10.02880859375,0.0,0.328125,0.671875,1.46875,2.0,103.97684478759766,0.6511004567146301,results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p5.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed2_h0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 2 --halt-threshold 0.5 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p5.json
halting_only,halting_only,2,0.7,0.5,1764.7154542095789,9.066617488861084,10.02880859375,0.0,0.96875,0.03125,1.96875,2.0,103.81172180175781,0.6475953459739685,results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p7.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed2_h0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 2 --halt-threshold 0.7 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p7.json
halting_only,halting_only,2,0.9,0.5,1828.9606416596375,8.748137950897217,10.02880859375,0.0,1.0,0.0,2.0,2.0,103.63508605957031,0.6462832689285278,results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p9.json,results/fullb_experiments/logs/sweep_halting_only_b1_p16_seed2_h0p9.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant halting_only --seed 2 --halt-threshold 0.9 --output-json results/fullb_experiments/sweep_halting_only_b1_p16_seed2_h0p9.json
fullB,full,2,0.5,0.3,1402.448925000836,11.408615112304688,11.36572265625,0.5,0.140625,0.859375,1.28125,2.0,104.04325103759766,0.6479020118713379,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p5_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.5 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p3.json
fullB,full,2,0.5,0.5,1673.859169965305,9.558749198913574,10.28173828125,0.0,0.15625,0.84375,1.28125,2.0,103.93436431884766,0.6474498510360718,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p5_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.5 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p5.json
fullB,full,2,0.5,0.7,1694.753876458407,9.440898895263672,10.28173828125,0.0,0.15625,0.84375,1.28125,2.0,103.93436431884766,0.6474498510360718,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p5_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.5 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p5_r0p7.json
fullB,full,2,0.7,0.3,1406.4786719229746,11.375927925109863,11.44970703125,1.0,0.96875,0.03125,1.96875,2.0,103.08851623535156,0.6440771818161011,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p7_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.7 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p3.json
fullB,full,2,0.7,0.5,1655.1413343461822,9.666848182678223,11.32373046875,0.25,0.9375,0.0625,1.9375,2.0,103.7012710571289,0.6466604471206665,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p7_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.7 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p5.json
fullB,full,2,0.7,0.7,1795.5885193836407,8.910727500915527,10.28173828125,0.0,0.9375,0.0625,1.9375,2.0,103.55467987060547,0.6457526087760925,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p7_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.7 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p7_r0p7.json
fullB,full,2,0.9,0.3,1580.5605891815378,10.122990608215332,11.44970703125,1.0,1.0,0.0,2.0,2.0,103.6830825805664,0.6461940407752991,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p3.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p9_r0p3.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.9 --router-threshold 0.3 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p3.json
fullB,full,2,0.9,0.5,1617.4279303272267,9.89224910736084,11.32373046875,0.25,1.0,0.0,2.0,2.0,103.55896759033203,0.6458229422569275,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p5.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p9_r0p5.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.9 --router-threshold 0.5 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p5.json
fullB,full,2,0.9,0.7,1808.6887525738741,8.846187591552734,10.28173828125,0.0,1.0,0.0,2.0,2.0,103.59739685058594,0.6459581851959229,results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p7.json,results/fullb_experiments/logs/sweep_fullB_b1_p16_seed2_h0p9_r0p7.log,benchmarks/benchmark_generation_mamba_simple.py --prototype --batch 1 --promptlen 16 --d-model 128 --n-layer 2 --d-state 32 --headdim 32 --repeats 20 --dtype float16 --variant full --seed 2 --halt-threshold 0.9 --router-threshold 0.7 --output-json results/fullb_experiments/sweep_fullB_b1_p16_seed2_h0p9_r0p7.json
